path	tier	module	rtti_class	class_names	evidence	funcs_in_file	cpp_marker	has_header	extern_ZTV	blockers
src/ARMMathLoadState.c	PURE-C	arm9				1		None		-
src/ARMMathSaveState.c	PURE-C	arm9				1		None		-
src/ARMProcessorMode.c	PURE-C	arm9				1		None		-
src/ARMRestoreContext.c	PURE-C	arm9				1		None		-
src/ARMSaveContext.c	PURE-C	arm9				1		None		-
src/AddSpikeBomb.c	PURE-C	arm9				1		None		-
src/AddVec3.c	PURE-C	arm9				1		None		-
src/daSetSE_c_Spawn.c	WEAK-refs-only	ov002				1		None		-
src/daBrq_c_classInit.c	WEAK-refs-only	ov070				1		None		-
src/AngleDiff.c	PURE-C	arm9				1		None		-
src/ApproachAngle.c	PURE-C	arm9				1		None		-
src/daObjRc_Guruguru_c_classInit.c	WEAK-refs-only	ov036				1		None		-
src/daObjWc_Obj02_c_classInit.c	WEAK-refs-only	ov029				1		None		-
src/ArrowPathLift_Spawn.c	WEAK-refs-only	ov091				1		None		-
src/ArrowSignLeft_Spawn.c	WEAK-refs-only	ov098				1		None		-
src/ArrowSignRight_Spawn.c	WEAK-refs-only	ov098				1		None		-
src/AutoloadCallback.c	PURE-C	arm9				1		None		-
src/BabyPenguin_Spawn.c	WEAK-refs-only	ov072				1		None		-
src/daObjC0Water_c_classInit.c	WEAK-refs-only	ov012				1		None		-
src/BigBrickBlock_Spawn.c	WEAK-refs-only	ov002				1		None		-
src/BigBully_Spawn.c	S1-stores-rom-vptr	ov064			stores _ZTV8BigBully	1		None	_ZTV8BigBully	-
src/BigMovingIceBlock_Spawn.c	WEAK-refs-only	ov056				1		None		-
src/BigMrI_Spawn.c	WEAK-refs-only	ov071				1		None		-
src/daObjBkKillerdai_c_classInit.c	S1-stores-rom-vptr	ov079			stores _ZTV11BillBlaster	1		None	_ZTV11BillBlaster	-
src/Bird_Spawn.c	WEAK-refs-only	ov009				1		None		-
src/BitUnPack.c	PURE-C					0		None		not-in-delinks
src/BlackBrickBlock_Spawn.c	WEAK-refs-only	ov002				1		None		-
src/daObjBC_Switch_c_classInit.c	S1-stores-rom-vptr	ov002			stores _ZTV16daObjBC_Switch_c	1		None	_ZTV16daObjBC_Switch_c	-
src/BlueCoin_Spawn.c	WEAK-refs-only	ov002				1		None		-
src/BlueFlame_Spawn.c	WEAK-refs-only	ov002				1		None		-
src/BobOmbBuddy_Spawn.c	WEAK-refs-only	ov084				1		None		-
src/BobOmb_Spawn.c	WEAK-refs-only	ov102				1		None		-
src/daBookGen_c_classInit.c	WEAK-refs-only	ov020				1		None		-
src/BookShot_Spawn.c	WEAK-refs-only	ov020				1		None		-
src/BookSwitch_Spawn.c	PURE-C	ov016				1		None		-
src/Bookend_Spawn.c	WEAK-refs-only	ov020				1		None		-
src/BowserFireSeaArena_Spawn.c	WEAK-refs-only	ov060				1		None		-
src/BowserFire_Spawn.c	WEAK-refs-only	ov060				1		None		-
src/daObjFl_Coin_c_classInit.c	S1-stores-rom-vptr	ov064			stores _ZTV19BowserPuzzleManager	1		None	_ZTV19BowserPuzzleManager	-
src/daObjFl_Puzzle_c_classInit.c	WEAK-refs-only	ov064				1		None		-
src/BowserShockwaves_Spawn.c	WEAK-refs-only	ov060				1		None		-
src/daObjWlKoopaShutter_c_classInit.c	S1-stores-rom-vptr	ov026			stores _ZTV13BowserShutter	1		None	_ZTV13BowserShutter	-
src/BowserSkyPlatform_Spawn.c	S1-stores-rom-vptr	ov060			stores _ZTV17BowserSkyPlatform	1		None	_ZTV17BowserSkyPlatform	-
src/BowserTail_Spawn.c	WEAK-refs-only	ov060				1		None		-
src/Bowser_Spawn.c	WEAK-refs-only	ov060				1		None		-
src/BrickBlockSwitchActivated_Spawn.c	WEAK-refs-only	ov002				1		None		-
src/BrickBlock_Spawn.c	WEAK-refs-only	ov002				1		None		-
src/BulletBill_Spawn.c	WEAK-refs-only	ov079				1		None		-
src/Bullet_Spawn.c	WEAK-refs-only	ov002				1		None		-
src/Bully_Spawn.c	S1-stores-rom-vptr	ov064			stores _ZTV5Bully	1		None	_ZTV5Bully	-
src/Butterfly_Spawn.c	WEAK-refs-only	ov100				1		None		-
src/daObjWc_Obj05_c_classInit.c	S1-stores-rom-vptr	ov029			stores _ZTV15daObjWc_Obj05_c	1		None	_ZTV15daObjWc_Obj05_c	-
src/daCamTag_c_Spawn.c	WEAK-refs-only	ov002				1		None		-
src/Camera_UpdateMatrices.c	WEAK-refs-only	ov006				1		None		-
src/CannonHatch_Spawn.c	WEAK-refs-only	ov002				1		None		-
src/CapBlockLuigi_Spawn.c	WEAK-refs-only	ov102				1		None		-
src/CapBlockMario_Spawn.c	WEAK-refs-only	ov102				1		None		-
src/CapBlockWario_Spawn.c	WEAK-refs-only	ov102				1		None		-
src/Cap_Spawn.c	WEAK-refs-only	ov002				1		None		-
src/CastleWater_Spawn.c	WEAK-refs-only	ov009				1		None		-
src/CccArena_Spawn.c	WEAK-refs-only	ov073				1		None		-
src/CccBigIce_Spawn.c	WEAK-refs-only	ov073				1		None		-
src/CccSmallIce_Spawn.c	WEAK-refs-only	ov073				1		None		-
src/CgStairs_Spawn.c	WEAK-refs-only	ov102				1		None		-
src/daObjWanwanShutter_c_classInit.c	WEAK-refs-only	ov014				1		None		-
src/ChangeArea.c	PURE-C	arm9				1		None		-
src/CheepCheep_Spawn.c	WEAK-refs-only	ov090				1		None		-
src/daIDonketu_c_Spawn.c	WEAK-refs-only	ov027				1		None		-
src/Chuckya_Spawn.c	WEAK-refs-only	ov062				1		None		-
src/CleanCommonModelDataArr.c	WEAK-refs-only					0		None		not-in-delinks
src/ClearSpikeBomb.c	PURE-C	arm9				1		None		-
src/ClockPaintingHandLong_Spawn.c	WEAK-refs-only	ov013				1		None		-
src/daObjClockHuriko_c_Spawn.c	S1-stores-rom-vptr	ov013			stores _ZTV18daObjClockHuriko_c	1		None	_ZTV18daObjClockHuriko_c	-
src/Cloud_Spawn.c	WEAK-refs-only	ov039				1		None		-
src/daObjCasket_c_classInit.c	WEAK-refs-only	ov071				1		None		-
src/Coin_Spawn.c	WEAK-refs-only	ov002				1		None		-
src/CollectStar.c	PURE-C	arm9				1		None		-
src/CollectStarInCurLevel.c	PURE-C	arm9				1		None		-
src/CollectStarInLevel.c	PURE-C	arm9				1		None		-
src/Color_Interp.c	PURE-C	ov002				1		None		-
src/ContinueKuppaScriptIfNecessary.c	WEAK-refs-only	arm9				1		None		-
src/Copy32Bytes.c	PURE-C	arm9				1		None		-
src/Copy36Bytes.c	PURE-C	arm9				1		None		-
src/Copy48Bytes.c	PURE-C	arm9				1		None		-
src/Copy48BytesFixed.c	PURE-C	arm9				1		None		-
src/CopyTexPalFromLevelModel.c	WEAK-refs-only	arm9				1		None		-
src/CountStarsCollectedInLevelToDisplay.c	WEAK-refs-only	arm9				1		None		-
src/CpuCopy8.c	PURE-C					0		None		NONMATCHING-draft;not-in-delinks
src/CpuFastSet.c	PURE-C					0		None		not-in-delinks
src/CpuSet.c	PURE-C					0		None		not-in-delinks
src/Crash.c	WEAK-refs-only	arm9				1		None		-
src/CrazedCrate_Spawn.c	WEAK-refs-only	ov080				1		None		-
src/CrossVec3.c	PURE-C	arm9				1		None		-
src/CutsceneObject_Spawn.c	WEAK-refs-only	ov002				1		None		-
src/DMAStartTransfer.c	WEAK-refs-only					0		None		not-in-delinks
src/DMAStartTransferFB.c	WEAK-refs-only					0		None		not-in-delinks
src/DMASyncFillTransfer.c	PURE-C	arm9				1		None		-
src/DMASyncHalfTransfer.c	PURE-C	arm9				1		None		-
src/DMASyncWordTransfer.c	PURE-C	arm9				1		None		-
src/Deallocate.c	WEAK-refs-only	arm9				1		None		-
src/DeathTable_ClearBit.c	PURE-C	arm9				1		None		-
src/DeathTable_GetBit.c	PURE-C	arm9				1		None		-
src/DeathTable_SetBit.c	PURE-C	arm9				1		None		-
src/DecIfAbove0_Byte.c	PURE-C	arm9				1		None		-
src/DecIfAbove0_Short.c	PURE-C	arm9				1		None		-
src/DecompressLZ16.c	PURE-C	arm9				1		None		-
src/daObjKm1_Ukishima_c_classInit.c	S1-stores-rom-vptr	ov043			stores _ZTV11DiamondLift	1		None	_ZTV11DiamondLift	-
src/DisableSoundPlayersForCredits.c	WEAK-refs-only	arm9				1		None		-
src/DisableVramBanks.c	PURE-C	arm9				1		None		-
src/Div.c	PURE-C					0		None		not-in-delinks
src/daObjRc_Tikuwa_c_classInit.c	WEAK-refs-only	ov036				1		None		-
src/Door_Spawn.c	S1-stores-rom-vptr	ov100			stores _ZTV4Door	1		None	_ZTV4Door	-
src/DorrieCap_Spawn.c	WEAK-refs-only	ov065				1		None		-
src/DotVec3.c	PURE-C	arm9				1		None		-
src/Enable3dEngines.c	PURE-C	arm9				1		None		-
src/EnemySpawner_Spawn.c	WEAK-refs-only	ov002				1		None		-
src/EnemySwitchTag_Spawn.c	WEAK-refs-only	ov002				1		None		-
src/EnterBigBoosHaunt.c	PURE-C	arm9				1		None		-
src/Entry.c	WEAK-refs-only	arm9				1		None		-
src/ExclamationBlockVs_Spawn.c	WEAK-refs-only	ov102				1		None		-
src/ExclamationBlock_Spawn.c	WEAK-refs-only	ov102				1		None		-
src/ExclamationSwitch_Spawn.c	WEAK-refs-only	ov002				1		None		-
src/ExitLevel.c	PURE-C	arm9				1		None		-
src/ExitMinigameMenu.c	WEAK-refs-only	arm9				1		None		-
src/daChScene_c_Spawn.c	WEAK-refs-only	ov002				1		None		-
src/daObjKm2_Nobiru_c_classInit.c	WEAK-refs-only	ov045				1		None		-
src/FS_CloseFile.c	PURE-C	arm9				1		None		-
src/FS_InitFile.c	PURE-C	arm9				1		None		-
