class_name	state	header_path	base_class	subclass_count	overlays	method_count
fBase_c	DONE	include\fBase_c.h		1	arm9	25
dPa_c::level_c::callback_c	DONE	include\dPa_c.h  [alias: header uses pre-rename name]		6		0
cMgSmartball_object_c	DONE	include\cMgSmartball_object_c.h		11	ov006	3
dExtModel_c	DONE	include\ModelBase.h  [alias: header uses pre-rename name]		3	arm9	6
dExtFrameCtrl_c	DONE	include\Animation.h  [alias: header uses pre-rename name]		4	arm9	13
dFader_c	DONE	include\Fader.h  [alias: header uses pre-rename name]		1	arm9	4
dGraph_c::callback_c	DONE	include\dGraph_c.h  [alias: header uses pre-rename name]		5		0
dBgCh	DONE	include\dBgCh.h		4	arm9	9
dBgPc	DONE	include\dBgPc.h		1	arm9	4
dBgW	DONE	include\dBgW.h		1	arm9	19
dCc_c	DONE	include\dCc_c.h		2	arm9	9
dMgTrmpObjAdapter_c	MISSING	include/dMgTrmpObjAdapter_c.h (MISSING)		2	ov006	0
dThIcon_c	DONE	include\dThIcon_c.h		3	ov001	2
std::type_info	BUILTIN	include/std.h (outer header, nested class MISSING)		1	arm9	0
daDemo_c::param_c	MISSING	include\CutsceneObject.h  [alias: header uses pre-rename name]		2		0
mHeap::Heap_t	MISSING	include/mHeap.h (outer header, nested class MISSING)		2	arm9	0
dM3dGLin	PARTIAL	include\dM3dGLin.h		1	ov002	2
dM3dGSph	DONE	include\dM3dGSph.h		1	arm9	5
dMg3DHeyhoObjAdapter_c	MISSING	include/dMg3DHeyhoObjAdapter_c.h (MISSING)		1	ov006	1
dMgCardObj_c	MISSING	include/dMgCardObj_c.h (MISSING)		1	ov006	0
dCapIcon_c	MISSING	include/dCapIcon_c.h (MISSING)		0	ov001	4
dClipper	DONE	include\Clipper.h  [alias: header uses pre-rename name]		0	arm9	7
dMgMCarlo2CardObj_c	MISSING	include/dMgMCarlo2CardObj_c.h (MISSING)		0	ov006	0
dMgMCarloCardObj_c	MISSING	include/dMgMCarloCardObj_c.h (MISSING)		0	ov006	0
dBase_c	DONE	include\dBase_c.h	fBase_c	6	arm9	4
dPa_c::level_c::simpleCallback_c	DONE	include\dPa_c.h  [alias: header uses pre-rename name]	dPa_c::level_c::callback_c	6		0
dPa_c::level_c::checkWaterCallback_c	DONE	include\dPa_c.h  [alias: header uses pre-rename name]	dPa_c::level_c::callback_c	0		0
dPa_c::level_c::checkWaterRippleCallback_c	DONE	include\dPa_c.h  [alias: header uses pre-rename name]	dPa_c::level_c::callback_c	0		0
