class_name	shard_count	total_lines	overlay	has_header	already_promoted	blockers	sibling_oracle
dMg3DEspAnimSet_c+dMg3DEspModel_c+dScMg3DEsp_c	67	1814	ov006	yes	no	pragma:8;multi-class-tu:3;owns-vtable:3syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
dMgJump3DMario_c	28	820	ov006	yes	no	owns-vtable:3syms(needs production_mode=intact-object);classif:no-header:dMgJump3DMario_c	dScMgSingle3DBase_c
dScMgD3DBase_c	27	724	ov006	yes	no	owns-vtable:3syms(needs production_mode=intact-object)	dScMgSingle3DBase_c
Ukiki	44	1983	ov030	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
OneUpMushroom	36	971	ov002	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	daBar_c
daOts_c	22	627	ov064	yes	no	owns-vtable:1syms(needs production_mode=intact-object)	daObjFl_Gura_c
Scuttlebug	36	1008	ov071	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	daEyBm_c
MrBlizzard	34	1357	ov081	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
Pokey	34	957	ov096	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
BobOmb	34	1336	ov102	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
dBgActor_c	11	394	ov002	yes	no	owns-vtable:3syms(needs production_mode=intact-object)	daBar_c
BabyPenguin	31	840	ov072	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	daBgSnwmn_c
daPgDfdr_c	15	361	ov027	yes	no	owns-vtable:3syms(needs production_mode=intact-object)	daIDonketu_c
Rabbit	31	1693	ov085	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	-
UnknownVsEntry+UnknownVsPlayer	43	1157	ov075	unknown	no	multi-class-tu:2;owns-vtable:1syms(needs production_mode=intact-object)	-
daObjFloatBoard_c	7	279	ov002	yes	no	owns-vtable:3syms(needs production_mode=intact-object)	daBar_c
SnowmanBody	28	665	ov072	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	daBgSnwmn_c
MovingBar	23	349	ov015	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	daObjBkBillboard_c
daObjDorifu_c	6	254	ov002	yes	no	owns-vtable:3syms(needs production_mode=intact-object)	daBar_c
daObjGuragura_c	6	181	ov002	yes	no	owns-vtable:3syms(needs production_mode=intact-object)	daBar_c
daObjKurumajiku_c	6	168	ov002	yes	no	owns-vtable:3syms(needs production_mode=intact-object)	daBar_c
daObjFallBlock_c	12	410	ov098	yes	no	owns-vtable:1syms(needs production_mode=intact-object)	ArrowSignRight
daObjUkiyuka_c	5	140	ov002	yes	no	owns-vtable:3syms(needs production_mode=intact-object)	daBar_c
daObjKaitendai_c	5	128	ov002	yes	no	owns-vtable:3syms(needs production_mode=intact-object)	daBar_c
daObjKuruma_c	5	120	ov002	yes	no	owns-vtable:3syms(needs production_mode=intact-object)	daBar_c
StarSwitch	20	475	ov002	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	daBar_c
Klepto	23	1203	ov062	unknown	no	owns-vtable:1syms(needs production_mode=intact-object)	Chuckya
daObjCtMecha04_c	9	316	ov065	yes	no	owns-vtable:3syms(needs production_mode=intact-object)	daObjCtMecha05_c
