# aritycheck_receiver_baseline.txt
#
# The frozen set of RECEIVER-SHAPE arity disagreements: a declaration of an
# Itanium-mangled MEMBER name (_ZN...) that takes NO parameters at all, against
# a definition of the same symbol that takes at least one. A member's receiver
# rides r0 on ARM like any other first argument, so a body transcribed from the
# ROM takes it as a parameter -- and a caller that spells the declaration
# `(void)` passes nothing, so the callee reads the caller's own return address
# as `this`.
#
# THIS IS THE SHAPE THAT LANDED TWICE ON 2026-08-16, hours before the checker:
#
#   #1539  -extern void _ZN10FaderColor11AdvanceFadeEv(void);
#          +extern void _ZN10FaderColor11AdvanceFadeEv(void*);
#   #1543  -void _ZN12dEnemyBase_cC2Ev(void);   -> _ZN12dEnemyBase_cC2Ev();
#          +void _ZN12dEnemyBase_cC2Ev(void*);  -> _ZN12dEnemyBase_cC2Ev(c);
#
# Both were found by a person reading a fault. Neither is in this file, because
# both are fixed -- which is what makes the file a usable ratchet rather than a
# description of the status quo.
#
# WHAT A ROW IS. `<symbol>|<declaring file>`, never a line number: a key that
# carries a line moves every time somebody adds a comment above it, and a
# baseline that churns is a baseline nobody trusts. Two declarations of one
# symbol in one file collapse to one key, which is the right resolution --
# fixing the file fixes both.
#
# THESE ROWS ARE DEBT AND NOT CLEARANCE. Nobody has adjudicated them one by
# one, and some are certainly parser artefacts: aritycheck reads C and C++ as
# text, and K&R spellings, macro-expanded declarations and in-class definitions
# all confuse it. The ratchet's claim is deliberately narrow and true: THE TREE
# DOES NOT GROW A NEW ONE WITHOUT SOMEBODY SEEING IT. Anyone who works through
# a row and finds it real should fix it and delete the line; anyone who finds
# it a parser artefact should say so beside the line.
#
# The list may only shrink. Generated 2026-08-17 from cons 3a5733c03 (run
# link60, lane AB1) with:
#     python port/tools/aritycheck.py --write-receiver-baseline
# and reviewed only for shape, not row by row.
#
# 168 -> 166, run link60 lane RF1, 2026-08-17. TWO ROWS RETIRED and NEITHER
# was retired by editing a byte-locked src file. Both came off because the
# checker learned something true that it did not know, and both exclusions
# print on every run so neither is silent (see RIDE and NS BINDING in
# port/tools/aritycheck.py).
#
#   func_ov007_020c3d1c|src/func_ov007_020b7764.cpp
#       THE SIXTH LIVE DEFECT of port/abi_checks.txt section 6, and the row
#       this file used to carry a whole paragraph about. It is FIXED, in
#       hal/scene_boot.cpp: the /alternatename that bound
#       ?St_EndingFly_Main@Player@@YAXXZ to the flat Itanium body is deleted
#       and a face stands behind that spelling instead, supplying the receiver
#       out of data_ov007_02103448 -- the same global the ROM's own
#       `ldr r0,[r0]` at 0x020b7778 reads it from. The byte-locked declaration
#       in the src file is untouched and still says `(void)`, which is
#       correct: the free function it now calls really does take nothing.
#       The row retires because no directive binds that spelling to the flat
#       body any more, so the flat body is not what the declaration reaches.
#   func_ov007_020c3d1c|src/func_ov007_020c05f8.c
#       Never a defect at all, and it should not have been in this file. That
#       TU is a `ldr ip,[pc]; bx ip` long-branch veneer, and
#       port/tools/tailjump_guard.py has ASSERTED since 2026-08-16 that MSVC
#       compiles it as a jmp -- which reuses the caller's own cdecl frame, so
#       the argument the veneer never names is exactly where its target reads
#       it. A declared ride cannot drop a receiver. It is Class C row 2 of
#       that guard.
#
# AND TWO ROWS THAT WOULD HAVE APPEARED DID NOT, for the same RIDE reason, so
# they are named here rather than discovered later as a gap:
#   _ZN13HeapAllocator6RemoveEv|src/_ZN13HeapAllocator7DestroyEv.cpp
#   _ZN13HeapAllocator6RemoveEv|src/func_0204ebb8.c
# Those two are the arm9 heap-teardown veneers. Defect 2 of section 6 was
# fixed by giving the flat name a receiver-bridging face in
# hal/lk4_eh_dtor_seat.cpp, which the allocator reaches through those two
# jmps, and lane RF1 added both frames to tailjump_guard's Class C in the same
# change so the ride is asserted at link time instead of assumed. They are in
# the CENSUS (the text does disagree) and out of this subset (nothing is
# dropped). If either frame is ever displaced into a host copy, the guard row
# retires, the exclusion stops matching, and both rows come back here.

_ZN10FaderColorD1Ev|src/__sinit_02073e6c.c
_ZN10FaderColorD1Ev|src/__sinit_02074edc.c
_ZN10StarMarker27SpawnRedCoinStarIfNecessaryEv|src/func_ov002_020b10a0.c
_ZN9dBgCh_LinC1Ev|src/__sinit_0207501c.c
_ZN11ShadowModel12InitCylinderEv|port/unmatched/Boo_InitResources.c
_ZN11ShadowModel12InitCylinderEv|src/game/actors/daTrs_c/_ZN7daTrs_c13InitResourcesEv.cpp
_ZN11ShadowModel9InitModelEP9Matrix4x35Fix12IiES3_S3_j|src/func_ov006_020c07a0.c
_ZN10dBgCh_Actr13SetLimMovFlagEv|src/func_ov077_02125a0c.c
_ZN10dBgCh_Actr16UpdateContinuousEv|src/dBgCh_Actr_UpdateContinuous_Veneer.c
_ZN10dBgCh_Actr20UpdateDiscreteNoLavaEv|src/dBgCh_Actr_UpdateDiscreteNoLava_veneer.c
_ZN10dBgCh_Actr20UpdateExtraContinousEv|src/func_020383e4.c
_ZN10dBgCh_Actr22UpdateContinuousNoLavaEv|src/func_020383f0.c
_ZN10dBgCh_Actr22UpdateDiscreteNoLava_2Ev|src/func_02038414.c
_ZN10dBgCh_Actr4InitEP8dActor_c5Fix12IiES3_P10Vector3_16S5_|port/unmatched/Boo_InitResources.c
_ZN10dBgCh_Actr4InitEP8dActor_c5Fix12IiES3_P10Vector3_16S5_|src/game/actors/daTrs_c/_ZN7daTrs_c13InitResourcesEv.cpp
_ZN13SharedFilePtr7ReleaseEv|src/UnloadSilverStarAndNumber.c
_ZN13SharedFilePtr7ReleaseEv|src/_ZN17BigMovingIceBlock16CleanupResourcesEv.cpp
_ZN13SharedFilePtr7ReleaseEv|src/func_ov006_020c09f8.c
_ZN13SharedFilePtr7ReleaseEv|src/func_ov006_020c1c64.c
_ZN13SharedFilePtr7ReleaseEv|src/func_ov006_020c21e4.c
_ZN13SharedFilePtr7ReleaseEv|src/func_ov006_020c3288.c
_ZN13SharedFilePtr7ReleaseEv|src/func_ov006_020c6f3c.c
_ZN13SharedFilePtr7ReleaseEv|src/func_ov006_020ceedc.c
_ZN13SharedFilePtr7ReleaseEv|src/game/actors/d_a_obj_emm_log.cpp
_ZN14BlendModelAnim7SetAnimER8BCA_Fileii5Fix12IiEt|src/func_ov006_020c0304.c
_ZN14BlendModelAnim7SetAnimER8BCA_Fileii5Fix12IiEt|src/func_ov006_020c0e8c.c
_ZN14BlendModelAnim7SetAnimER8BCA_Fileii5Fix12IiEt|src/func_ov006_020c1164.c
_ZN14BlendModelAnim7SetAnimER8BCA_Fileii5Fix12IiEt|src/func_ov066_021164ec.c
_ZN14BlendModelAnim7SetAnimER8BCA_Fileii5Fix12IiEt|src/func_ov073_02120ad8.c
_ZN14BlendModelAnim7SetAnimER8BCA_Fileii5Fix12IiEt|src/func_ov073_02120c08.c
_ZN14BlendModelAnim7SetAnimER8BCA_Fileii5Fix12IiEt|src/func_ov073_0212122c.c
_ZN14BlendModelAnim7SetAnimER8BCA_Fileii5Fix12IiEt|src/func_ov075_021141b8.c
_ZN14BlendModelAnim7SetAnimER8BCA_Fileii5Fix12IiEt|src/func_ov075_02114218.c
_ZN14BlendModelAnim7SetAnimER8BCA_Fileii5Fix12IiEt|src/func_ov075_02114a6c.c
_ZN14BlendModelAnim7SetAnimER8BCA_Fileii5Fix12IiEt|src/actors/daBombking_c.cpp
_ZN14BlendModelAnim7SetAnimER8BCA_Fileii5Fix12IiEt|src/actors/daBombking_c.cpp
_ZN14BlendModelAnim7SetAnimER8BCA_Fileii5Fix12IiEt|src/actors/daBombking_c.cpp
_ZN14BlendModelAnim7SetAnimER8BCA_Fileii5Fix12IiEt|src/actors/daBombking_c.cpp
_ZN15FaderBrightnessD1Ev|src/__sinit_02074edc.c
_ZN4dBgW7DisableEv|src/_ZN17BigMovingIceBlock16CleanupResourcesEv.cpp
_ZN4dBgW7DisableEv|src/game/actors/d_a_obj_emm_log.cpp
