port_header	anchor	anchor_kind	module	address	rom_rtti	main_at_address	main_class	new_header	verdict
Actor.h	_ZTV5Actor	vtable	arm9	0x0208e3a4	8dActor_c	_ZTV8dActor_c;data_0208e3a4	dActor_c	include/dActor_c.h	RESOLVED
ActorBase.h	_ZTV9ActorBase	vtable	arm9	0x02099edc	7fBase_c	_ZTV7fBase_c;data_02099edc	fBase_c	include/fBase_c.h	RESOLVED
ActorDerived.h	_ZTV12ActorDerived	vtable	arm9	0x0208e4b8	7dBase_c	_ZTV7dBase_c;data_0208e4b8	dBase_c	include/dBase_c.h	RESOLVED
AmbientSoundEffects.h	_ZTV19AmbientSoundEffects	vtable	ov002	0x0210b4c8	9daSetSE_c	_ZTV9daSetSE_c	daSetSE_c	include/daSetSE_c.h	RESOLVED
Amp.h	_ZTV3Amp	vtable	ov070	0x02123278	7daBrq_c	_ZTV7daBrq_c	daBrq_c	include/daBrq_c.h	RESOLVED
ArmedRotatingPlatform.h	_ZTV21ArmedRotatingPlatform	vtable	ov036	0x02113ecc	16daObjRc_Dorifu_c	_ZTV16daObjRc_Dorifu_c	daObjRc_Dorifu_c	include/daObjRc_Dorifu_c.h	RESOLVED
ArrowLift.h	_ZTV9ArrowLift	vtable	ov029	0x02113db4	15daObjWc_Obj03_c	_ZTV15daObjWc_Obj03_c	daObjWc_Obj03_c	include/daObjWc_Obj03_c.h	RESOLVED
BgCh.h	_ZN4BgCh18StopDetectingWaterEv	method	arm9	0x02035488	-	_ZN5dBgCh18StopDetectingWaterEv	dBgCh	include/dBgCh.h	RESOLVED
Boo.h	_ZTV3Boo	vtable	ov063	0x0211e828	7daTrs_c	_ZTV7daTrs_c	daTrs_c	include/daTrs_c.h	RESOLVED
BooCage.h	_ZTV7BooCage	vtable	ov063	0x0211e930	11daTBasket_c	_ZTV11daTBasket_c	daTBasket_c	include/daTBasket_c.h	RESOLVED
BowserFireSeaArena.h	_ZTV18BowserFireSeaArena	vtable	ov060	0x0211a8b0	10daKpa2Bg_c	_ZTV10daKpa2Bg_c	daKpa2Bg_c	include/daKpa2Bg_c.h	RESOLVED
CameraTag.h	_ZTV9CameraTag	vtable	ov002	0x021085f8	10daChRoom_c	_ZTV10daChRoom_c	daChRoom_c	include/daChRoom_c.h	RESOLVED
CannonHatch.h	_ZTV11CannonHatch	vtable	ov002	0x02109d38	20daObjCannonShutter_c	_ZTV20daObjCannonShutter_c	daObjCannonShutter_c	include/daObjCannonShutter_c.h	RESOLVED
CapEnemy.h	_ZN8CapEnemy10ReleaseCapERK7Vector3	method	arm9	0x020061b0	-	_ZN11dCapEnemy_c10ReleaseCapERK7Vector3	dCapEnemy_c	include/dCapEnemy_c.h	RESOLVED
ChainChomp.h	_ZTV10ChainChomp	vtable	ov014	0x021147ec	10daWanwan_c	_ZTV10daWanwan_c	daWanwan_c	include/daWanwan_c.h	RESOLVED
ChainChompFence.h	_ZTV15ChainChompFence	vtable	ov014	0x021148b0	20daObjWanwanShutter_c	_ZTV20daObjWanwanShutter_c	daObjWanwanShutter_c	include/daObjWanwanShutter_c.h	RESOLVED
Cloud.h	_ZTV5Cloud	vtable	ov039	0x02111858	11daObjKumo_c	_ZTV11daObjKumo_c	daObjKumo_c	include/daObjKumo_c.h	RESOLVED
ClsnResult.h	_ZN10ClsnResultC1Ev	method	arm9	0x0203816c	-	_ZN5dBgPiC1Ev	dBgPi	include/dBgPi.h	RESOLVED
CylinderClsn.h	_ZTV12CylinderClsn	vtable	arm9	0x0208e6ec	5dCc_c	_ZTV5dCc_c;data_0208e6ec	dCc_c	include/dCc_c.h	RESOLVED
CylinderClsnWithPos.h	_ZTV19CylinderClsnWithPos	vtable	arm9	0x0208e6bc	8dCcPos_c	_ZTV8dCcPos_c	dCcPos_c	include/dCcPos_c.h	RESOLVED
