module	address	old_name	new_name	kind	basis	rom_rtti	danger_old_still_live_on_main	port_at_address	main_at_address	n_files	port_files
arm9	0x02005418	func_02005418	_ZN9BootScene8BehaviorEv	func	the one main-only spelling at the address	-	-	func_02005418	_ZN9BootScene8BehaviorEv	6	port/arm9_frontier.txt;port/hal/auto_bss.cpp;port/hal/scene_boot.cpp;port/hal/scene_link100_boot.cpp;port/slice_gate218.txt;port/tools/inferred_stub_adjudicated.txt
arm9	0x02005a58	func_02005a58	_ZN9BootScene13InitResourcesEv	func	the one main-only spelling at the address	-	-	func_02005a58	_ZN9BootScene13InitResourcesEv	8	port/arm9_frontier.txt;port/hal/scene_link100_boot.cpp;port/hal/star_flow.cpp;port/slice_gate218.txt;port/slice_gate225.txt;port/tools/inferred_stub_adjudicated.txt;port/tools/romdata.py;port/tools/scene_bootpair_proof.py
arm9	0x02005d94	_ZN8CapEnemy12Unk_02005d94Ev	_ZN11dCapEnemy_c12Unk_02005d94Ev	mangled	one main-only spelling of the same kind	-	-	_ZN8CapEnemy12Unk_02005d94Ev	_ZN11dCapEnemy_c12Unk_02005d94Ev	4	port/faces_adjudicated.txt;port/hal/bob_enemy_bridges.cpp;port/slice_gate32.txt;port/unmatched/Boo_Behavior.c
arm9	0x02005f0c	_ZN8CapEnemy21DestroyIfCapNotNeededEv	_ZN11dCapEnemy_c21DestroyIfCapNotNeededEv	mangled	one main-only spelling of the same kind	-	-	_ZN8CapEnemy21DestroyIfCapNotNeededEv	_ZN11dCapEnemy_c21DestroyIfCapNotNeededEv	5	port/faces_adjudicated.txt;port/hal/bob_enemy_bridges.cpp;port/slice_gate32.txt;port/tools/aritycheck_receiver_baseline.txt;port/unmatched/Boo_InitResources.c
arm9	0x02005fa0	_ZN8CapEnemy11GetCapStateEv	_ZN11dCapEnemy_c11GetCapStateEv	mangled	one main-only spelling of the same kind	-	-	_ZN8CapEnemy11GetCapStateEv	_ZN11dCapEnemy_c11GetCapStateEv	4	port/faces_adjudicated.txt;port/hal/bob_enemy_shadow_faces.cpp;port/slice_gate32.txt;port/unmatched/Boo_Behavior.c
arm9	0x02006054	_ZN8CapEnemy15RespawnIfHasCapEv	_ZN11dCapEnemy_c15RespawnIfHasCapEv	mangled	one main-only spelling of the same kind	-	-	_ZN8CapEnemy15RespawnIfHasCapEv	_ZN11dCapEnemy_c15RespawnIfHasCapEv	4	port/faces_adjudicated.txt;port/hal/bob_enemy_bridges.cpp;port/slice_gate32.txt;port/unmatched/Boo_Behavior.c
arm9	0x020060f4	_ZN8CapEnemy16GetCapEatenOffItERK7Vector3	_ZN11dCapEnemy_c16GetCapEatenOffItERK7Vector3	mangled	one main-only spelling of the same kind	-	-	_ZN8CapEnemy16GetCapEatenOffItERK7Vector3	_ZN11dCapEnemy_c16GetCapEatenOffItERK7Vector3	2	port/slice_gate32.txt;port/unmatched/Boo_Behavior.c
arm9	0x020061b0	_ZN8CapEnemy10ReleaseCapERK7Vector3	_ZN11dCapEnemy_c10ReleaseCapERK7Vector3	mangled	one main-only spelling of the same kind	-	-	_ZN8CapEnemy10ReleaseCapERK7Vector3	_ZN11dCapEnemy_c10ReleaseCapERK7Vector3	2	port/hal/actor_classes_ov063.cpp;port/slice_gate32.txt
arm9	0x02006280	_ZN8CapEnemy14RenderCapModelEPK7Vector3	_ZN11dCapEnemy_c14RenderCapModelEPK7Vector3	mangled	one main-only spelling of the same kind	-	-	_ZN8CapEnemy14RenderCapModelEPK7Vector3	_ZN11dCapEnemy_c14RenderCapModelEPK7Vector3	5	port/faces_adjudicated.txt;port/hal/bob_enemy_bridges.cpp;port/slice_gate32.txt;port/unmatched/BobEnemy_Renders.cpp;port/unmatched/ModelAnim_Renders.cpp
arm9	0x020062b8	_ZN8CapEnemy12UpdateCapPosERK7Vector3RK10Vector3_16	_ZN11dCapEnemy_c12UpdateCapPosERK7Vector3RK10Vector3_16	mangled	one main-only spelling of the same kind	-	-	_ZN8CapEnemy12UpdateCapPosERK7Vector3RK10Vector3_16	_ZN11dCapEnemy_c12UpdateCapPosERK7Vector3RK10Vector3_16	5	port/faces_adjudicated.txt;port/hal/actor_classes_ov063.cpp;port/slice_gate32.txt;port/slice_w5a.txt;port/unmatched/Boo_RenderUpdate.c
arm9	0x020063b0	_ZN8CapEnemy6AddCapEj	_ZN11dCapEnemy_c6AddCapEj	mangled	one main-only spelling of the same kind	-	-	_ZN8CapEnemy6AddCapEj	_ZN11dCapEnemy_c6AddCapEj	3	port/slice_gate32.txt;port/tools/aritycheck_receiver_baseline.txt;port/unmatched/Boo_InitResources.c
arm9	0x020064e0	_ZN8CapEnemy14UnloadCapModelEv	_ZN11dCapEnemy_c14UnloadCapModelEv	mangled	one main-only spelling of the same kind	-	-	_ZN8CapEnemy14UnloadCapModelEv	_ZN11dCapEnemy_c14UnloadCapModelEv	1	port/slice_gate32.txt
arm9	0x0200651c	_ZN8CapEnemyD2Ev	_ZN11dCapEnemy_cD1Ev	mangled	one main-only spelling of the same kind	-	-	_ZN8CapEnemyD2Ev	_ZN11dCapEnemy_cD1Ev	4	port/CMakeLists.txt;port/hal/actor_base_tables_ov002.cpp;port/slice_gate32.txt;port/slice_w1l1.txt
arm9	0x02006554	_ZN8CapEnemyC2Ev	_ZN11dCapEnemy_cC2Ev	mangled	one main-only spelling of the same kind	-	-	_ZN8CapEnemyC2Ev	_ZN11dCapEnemy_cC2Ev	1	port/slice_gate32.txt
arm9	0x020072c0	func_020072c0	_ZN7Vector3D1Ev	func	the one main-only spelling at the address	-	-	func_020072c0	_ZN7Vector3D1Ev	13	port/hal/actor_classes.cpp;port/hal/actor_classes_ov034.cpp;port/hal/actor_classes_ov073.cpp;port/hal/cxx_aliases.cpp;port/slice_gate10.txt;port/slice_gate142.txt;port/slice_gate21.txt;port/slice_w6f.txt;port/unmatched/ChainChomp_Spawn_hostcopy.cpp;port/unmatched/Ov002_ModelAnimD0_020f6778.cpp;port/unmatched/Player_CleanupResources.cpp;port/unmatched/Player_InitResources.cpp;port/unmatched/UnchainedChomp_Behavior.cpp
arm9	0x0200d184	_ZN6Camera10LookAtExitER5Actor	_ZN6Camera10LookAtExitER8dActor_c	mangled	one main-only spelling of the same kind	-	-	_ZN6Camera10LookAtExitER5Actor	_ZN6Camera10LookAtExitER8dActor_c	4	port/faces_adjudicated.txt;port/hal/cxx_aliases.cpp;port/hal/door_ring_faces.cpp;port/slice_gate20.txt
arm9	0x0200e444	_ZN6CameraC1Ev	dCamera_c_classInit	mangled	the one main-only spelling at the address	-	-	_ZN6CameraC1Ev	dCamera_c_classInit	3	port/hal/actor_registry.cpp;port/hal/camera_bridges.cpp;port/slice_gate13.txt
arm9	0x0200f658	_ZN5Actor17DetectRaycastClsnER7Vector3S1_b	_ZN8dActor_c17DetectRaycastClsnER7Vector3S1_b	mangled	one main-only spelling of the same kind	-	-	_ZN5Actor17DetectRaycastClsnER7Vector3S1_b	_ZN8dActor_c17DetectRaycastClsnER7Vector3S1_b	3	port/slice_gate176.txt;port/unmatched/BabyPenguin_LandTransition.cpp;port/unmatched/MrI_StateMains.cpp
arm9	0x0200f70c	_ZN5Actor22IsTooFarAwayFromPlayerE5Fix12IiE	_ZN8dActor_c22IsTooFarAwayFromPlayerE5Fix12IiE	mangled	one main-only spelling of the same kind	-	-	_ZN5Actor22IsTooFarAwayFromPlayerE5Fix12IiE	_ZN8dActor_c22IsTooFarAwayFromPlayerE5Fix12IiE	3	port/slice_gate32.txt;port/unmatched/Ov064Gate178_States.cpp;port/unmatched/Ukiki_Behavior.cpp
arm9	0x0200f7a8	_ZN5Actor19MakeVanishLuigiWorkER12CylinderClsn	_ZN8dActor_c19MakeVanishLuigiWorkER5dCc_c	mangled	one main-only spelling of the same kind	-	-	_ZN5Actor19MakeVanishLuigiWorkER12CylinderClsn	_ZN8dActor_c19MakeVanishLuigiWorkER5dCc_c	5	port/CMakeLists.txt;port/slice_gate208.txt;port/slice_gate32.txt;port/unmatched/MontyMole_StateDispatch.cpp;port/unmatched/PiranhaPlant_States.cpp
arm9	0x0200f874	_ZN5Sound20PlaySmallSecretSoundEP5ActorPt	_ZN5Sound20PlaySmallSecretSoundEP8dActor_cPt	mangled	one main-only spelling of the same kind	-	-	_ZN5Sound20PlaySmallSecretSoundEP5ActorPt	_ZN5Sound20PlaySmallSecretSoundEP8dActor_cPt	2	port/slice_gate41.txt;port/unmatched/SoundObject_Behavior.cpp
