module	addr	old	new	why
arm9	0x02086d78	data_02086d78	Camera_SpawnInfo	spawninfo
arm9	0x02092680	data_02092680	_ZTV5Stage	vtable alloc=?
ov002	0x020aee40	func_ov002_020aee40	_ZN13OneUpMushroomD1Ev	vtable slot 16
ov002	0x020aee88	func_ov002_020aee88	_ZN13OneUpMushroomD0Ev	vtable slot 17
ov002	0x020affe8	func_ov002_020affe8	_ZN13OneUpMushroom16CleanupResourcesEv	vtable slot 3
ov002	0x020b006c	func_ov002_020b006c	_ZN13OneUpMushroom16OnPendingDestroyEv	vtable slot 12
ov002	0x020b0070	func_ov002_020b0070	_ZN13OneUpMushroom6RenderEv	vtable slot 9
ov002	0x020b00e8	func_ov002_020b00e8	_ZN13OneUpMushroom8BehaviorEv	vtable slot 6
ov002	0x020b01c0	func_ov002_020b01c0	_ZN13OneUpMushroom13InitResourcesEv	vtable slot 0
ov002	0x020b0530	func_ov002_020b0530	MegaMushroom_Spawn	spawnfunc
ov002	0x020b0580	func_ov002_020b0580	OneUpMushroom_Spawn	spawnfunc
ov002	0x020b0710	func_ov002_020b0710	InvisiblePole_Spawn	spawnfunc
ov002	0x020b0748	func_ov002_020b0748	_ZN13InvisiblePoleD1Ev	vtable slot 16
ov002	0x020b076c	func_ov002_020b076c	_ZN13InvisiblePoleD0Ev	vtable slot 17
ov002	0x020b07a4	func_ov002_020b07a4	_ZN13InvisiblePole16CleanupResourcesEv	vtable slot 3
ov002	0x020b07ac	func_ov002_020b07ac	_ZN13InvisiblePole16OnPendingDestroyEv	vtable slot 12
ov002	0x020b07b0	func_ov002_020b07b0	_ZN13InvisiblePole6RenderEv	vtable slot 9
ov002	0x020b07b8	func_ov002_020b07b8	_ZN13InvisiblePole8BehaviorEv	vtable slot 6
ov002	0x020b07c0	func_ov002_020b07c0	_ZN13InvisiblePole13InitResourcesEv	vtable slot 0
ov002	0x020b07c8	func_ov002_020b07c8	CameraTag_Spawn	spawnfunc
ov002	0x020b07f8	func_ov002_020b07f8	_ZN9CameraTagD1Ev	vtable slot 16
ov002	0x020b081c	func_ov002_020b081c	_ZN9CameraTagD0Ev	vtable slot 17
ov002	0x020b0854	func_ov002_020b0854	_ZN9CameraTag16CleanupResourcesEv	vtable slot 3
ov002	0x020b085c	func_ov002_020b085c	_ZN9CameraTag16OnPendingDestroyEv	vtable slot 12
ov002	0x020b0860	func_ov002_020b0860	_ZN9CameraTag6RenderEv	vtable slot 9
ov002	0x020b0868	func_ov002_020b0868	_ZN9CameraTag8BehaviorEv	vtable slot 6
ov002	0x020b0938	func_ov002_020b0938	_ZN9CameraTag13InitResourcesEv	vtable slot 0
ov002	0x020b0980	func_ov002_020b0980	VirtualDoor_Spawn	spawnfunc
ov002	0x020b09b0	func_ov002_020b09b0	_ZN11VirtualDoorD1Ev	vtable slot 16
ov002	0x020b09d4	func_ov002_020b09d4	_ZN11VirtualDoorD0Ev	vtable slot 17
ov002	0x020b0a70	func_ov002_020b0a70	_ZN11VirtualDoor16CleanupResourcesEv	vtable slot 3
ov002	0x020b0a78	func_ov002_020b0a78	_ZN11VirtualDoor16OnPendingDestroyEv	vtable slot 12
ov002	0x020b0a7c	func_ov002_020b0a7c	_ZN11VirtualDoor6RenderEv	vtable slot 9
ov002	0x020b0a84	func_ov002_020b0a84	_ZN11VirtualDoor8BehaviorEv	vtable slot 6
ov002	0x020b0d88	func_ov002_020b0d88	_ZN11VirtualDoor13InitResourcesEv	vtable slot 0
ov002	0x020b0f24	func_ov002_020b0f24	Exit_Spawn	spawnfunc
ov002	0x020b0f54	func_ov002_020b0f54	_ZN4CoinD1Ev	vtable slot 16
ov002	0x020b0fa4	func_ov002_020b0fa4	_ZN4CoinD0Ev	vtable slot 17
ov002	0x020b2198	func_ov002_020b2198	_ZN4Coin16CleanupResourcesEv	vtable slot 3
ov002	0x020b2284	func_ov002_020b2284	_ZN4Coin6RenderEv	vtable slot 9
ov002	0x020b2324	func_ov002_020b2324	_ZN4Coin8BehaviorEv	vtable slot 6
ov002	0x020b2508	func_ov002_020b2508	_ZN4Coin13InitResourcesEv	vtable slot 0
ov002	0x020b2a98	func_ov002_020b2a98	BlueCoin_Spawn	spawnfunc
ov002	0x020b2af0	func_ov002_020b2af0	RedCoin_Spawn	spawnfunc
ov002	0x020b2b48	func_ov002_020b2b48	Coin_Spawn	spawnfunc
ov002	0x020b2ba0	func_ov002_020b2ba0	_ZN11WingFeatherD1Ev	vtable slot 16
ov002	0x020b2be8	func_ov002_020b2be8	_ZN11WingFeatherD0Ev	vtable slot 17
ov002	0x020b2e30	func_ov002_020b2e30	_ZN11WingFeather16CleanupResourcesEv	vtable slot 3
ov002	0x020b2e54	func_ov002_020b2e54	_ZN11WingFeather6RenderEv	vtable slot 9
ov002	0x020b2e9c	func_ov002_020b2e9c	_ZN11WingFeather8BehaviorEv	vtable slot 6
ov002	0x020b311c	func_ov002_020b311c	_ZN11WingFeather13InitResourcesEv	vtable slot 0
ov002	0x020b3248	func_ov002_020b3248	WingFeather_Spawn	spawnfunc
ov002	0x020b3568	func_ov002_020b3568	Bubble_Spawn	spawnfunc
ov002	0x020b35a0	func_ov002_020b35a0	_ZN13BigBrickBlockD1Ev	vtable slot 16
ov002	0x020b35e4	func_ov002_020b35e4	_ZN13BigBrickBlockD0Ev	vtable slot 17
ov002	0x020b3ab0	func_ov002_020b3ab0	_ZN13BigBrickBlock16CleanupResourcesEv	vtable slot 3
ov002	0x020b3b14	func_ov002_020b3b14	_ZN13BigBrickBlock6RenderEv	vtable slot 9
ov002	0x020b3c0c	func_ov002_020b3c0c	_ZN13BigBrickBlock8BehaviorEv	vtable slot 6
ov002	0x020b3d78	func_ov002_020b3d78	_ZN13BigBrickBlock13InitResourcesEv	vtable slot 0
ov002	0x020b406c	func_ov002_020b406c	FortressTowerWall_Spawn	spawnfunc
ov002	0x020b409c	func_ov002_020b409c	BlackBrickBlock_Spawn	spawnfunc
ov002	0x020b40cc	func_ov002_020b40cc	BrickBlockSwitchActivated_Spawn	spawnfunc
ov002	0x020b40fc	func_ov002_020b40fc	BigBrickBlock_Spawn	spawnfunc
