actor_id	profile_id	profile_id_source	debug_string_address	candidate_ordinal	registry_candidate_count	overlay_ambiguous	overlay	profile_address	current_profile_name	proposed_profile_name	descriptor_layout	profile_index	profile_index_matches_actor_id	execute_order	draw_order	group_flags	group_flags_evidence	actor_flags	clip_offset_y	clip_radius	clip_distance	far_distance	factory_module	factory_address	current_factory_name	current_factory_file	proposed_factory_name	factory_shape	alloc_size	installed_vtable	class_name	class_name_source	proposed_factory_collision	class_filename_candidate	tu_start	tu_end	profile_rename_recommended	factory_rename_recommended	recommendation_evidence
0	BOOT	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208f698	1	1	False	arm9	0x020914a8	data_020914a8	g_profile_BOOT	base_profile_0x08	0	True	0	2		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors						arm9	0x02023624	func_02023624	src/func_02023624.c	dScBoot_c_classInit	new_plus_inlined_ctor	0x00000058	0x02091528	dScBoot_c	SM64DS RTTI arm9:0x020914c8		d_sc_boot.cpp	0x20049f0	0x20707a4	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
1	DSMT	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208f6a8	1	1	False	ov007	0x02103264	data_ov007_02103264	g_profile_DSMT	base_profile_0x08	1	True	1	3		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors						ov007	0x020ccad0	func_ov007_020ccad0	src/func_ov007_020ccad0.c	dScDSMT_c_classInit	new_plus_inlined_ctor	0x00000064	0x021032e8	dScDSMT_c	SM64DS RTTI ov007:0x02103278		d_sc_dsmt.cpp	0x20cc600	0x20ccb54	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
2	TITLE	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208f718	1	1	False	ov003	0x020b1380	data_ov003_020b1380	g_profile_TITLE	base_profile_0x08	2	True	2	4		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors						ov003	0x020adc10	func_ov003_020adc10	src/func_ov003_020adc10.cpp	dScTitle_c_classInit	new_plus_inlined_ctor	0x00000054	0x020b1650	dScTitle_c	SM64DS RTTI ov003:0x020b1498		d_sc_title.cpp	0x20adc10	0x20addfc	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
3	STAGE	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208f708	1	1	False	arm9	0x0209213c	_ZN5Stage9spawnDataE	g_profile_STAGE	base_profile_0x08	3	True	3	6		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors						arm9	0x0202e088	Stage_Spawn	src/Stage_Spawn.cpp	dScStage_c_classInit	new_plus_inlined_ctor	0x000009c8	0x020921c0	dScStage_c	SM64DS RTTI arm9:0x02092158		d_sc_stage.cpp	0x20049f0	0x20707a4	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
4	STAR_SELECT	symbols/actor_debug_names.tsv (literal ROM string table)	0x02090248	1	1	False	ov003	0x020b16b4	StarSelect_SpawnInfo	g_profile_STAR_SELECT	base_profile_0x08	4	True	4	7		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors						ov003	0x020b04f0	StarSelect_Spawn	src/StarSelect_Spawn.cpp	dScStarSel_c_classInit	new_plus_inlined_ctor	0x0000013c	0x020b1704	dScStarSel_c	SM64DS RTTI ov003:0x020b16bc		d_sc_star_sel.cpp	0x20addfc	0x20b0580	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
5	MINIGAME	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208fabc	1	1	False	ov005	0x020c2440	data_ov005_020c2440	g_profile_MINIGAME	base_profile_0x08	5	True	5	8		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors						ov005	0x020c21ec	func_ov005_020c21ec	src/func_ov005_020c21ec.c	dScMiniGm_c_classInit	new_plus_inlined_ctor	0x000000b0	0x020c2490	dScMiniGm_c	SM64DS RTTI ov005:0x020c2448		d_sc_mini_gm.cpp	0x20c21ec	0x20c2250	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
6	ENTRY	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208f768	1	1	False	ov075	0x0211c880	data_ov075_0211c880	g_profile_ENTRY	base_profile_0x08	6	True	6	9		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors						ov075	0x0211a854	func_ov075_0211a854	src/func_ov075_0211a854.cpp	dScEntry_c_classInit	new_plus_inlined_ctor	0x00000288	0x0211d304	dScEntry_c	SM64DS RTTI ov075:0x0211c8f8	ov075:0x0211a740;ov075:0x0211a854	d_sc_entry.cpp	0x211a854	0x211b524	yes	no	not_apply=global_classinit_name_collision
7	RESULT	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208f828	1	1	False	ov075	0x0211c788	data_ov075_0211c788	g_profile_RESULT	base_profile_0x08	7	True	7	10		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors						ov075	0x0211a740	func_ov075_0211a740	src/func_ov075_0211a740.cpp	dScEntry_c_classInit	new_plus_inlined_ctor	0x00000288	0x0211d304	dScEntry_c	SM64DS RTTI ov075:0x0211c8f8	ov075:0x0211a740;ov075:0x0211a854	d_sc_entry.cpp	0x2115ab8	0x211a854	yes	no	not_apply=global_classinit_name_collision
8	GAME_OVER	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208fd20	1	1	False	ov003	0x020b1750	data_ov003_020b1750	g_profile_GAME_OVER	base_profile_0x08	8	True	8	11		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors						ov003	0x020b1118	func_ov003_020b1118	src/func_ov003_020b1118.cpp	dScGameOver_c_classInit	new_plus_inlined_ctor	0x00000098	0x020b179c	dScGameOver_c	SM64DS RTTI ov003:0x020b1758		d_sc_game_over.cpp	0x20b1118	0x20b117c	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
9	YOSHI_EGG	symbols/actor_debug_names.tsv (literal ROM string table)	0x0208fd2c	1	1	False	ov002	0x0210ad90	YoshiEgg_SpawnInfo	g_profile_YOSHI_EGG	actor_profile_0x1c	9	True	9	157		unlocated: no separate group-flags field is read from this descriptor by the recovered fBase_c/dActor_c constructors	0x00000002	0x00032000	0x00046000	0x01000000	0x01000000	ov002	0x020ee3d8	YoshiEgg_Spawn	src/YoshiEgg_Spawn.c	daYegg_c_classInit	new_plus_inlined_ctor	0x0000042c	0x0210adb4	daYegg_c	SM64DS RTTI ov002:0x0210ad84		d_a_yegg.cpp	0x20ec56c	0x20ee42c	yes	yes	eligible=unique_registry_context+rom_profile_id+unique_class_factory
