current_symbol	proposed_symbol	symbol_kind	profile_id	class_name	confidence	evidence	apply_recommended
func_02023624	dScBoot_c_classInit	factory	BOOT	dScBoot_c	B+	rtti+operator_new_size+vtable+factory_shape+nsmbw_lineage	yes
data_020914a8	g_profile_BOOT	profile	BOOT	dScBoot_c	B+	rom_profile_id+registry_descriptor+factory_pointer+nsmbw_lineage	yes
Stage_Spawn	dScStage_c_classInit	factory	STAGE	dScStage_c	B+	rtti+operator_new_size+vtable+factory_shape+nsmbw_lineage	yes
_ZN5Stage9spawnDataE	g_profile_STAGE	profile	STAGE	dScStage_c	B+	rom_profile_id+registry_descriptor+factory_pointer+nsmbw_lineage	yes
func_ov005_020c21ec	dScMiniGm_c_classInit	factory	MINIGAME	dScMiniGm_c	B+	rtti+operator_new_size+vtable+factory_shape+nsmbw_lineage	yes
data_ov005_020c2440	g_profile_MINIGAME	profile	MINIGAME	dScMiniGm_c	B+	rom_profile_id+registry_descriptor+factory_pointer+nsmbw_lineage	yes
daObjCannonShutter_c_Spawn	daObjCannonShutter_c_classInit	factory	CANNON_SHUTTER	daObjCannonShutter_c	B+	rtti+operator_new_size+vtable+factory_shape+nsmbw_lineage	yes
daObjCannonShutter_c_SpawnInfo	g_profile_CANNON_SHUTTER	profile	CANNON_SHUTTER	daObjCannonShutter_c	B+	rom_profile_id+registry_descriptor+factory_pointer+nsmbw_lineage	yes
Trap_Spawn	daObjC1_Trap_c_classInit	factory	C1_TRAP	daObjC1_Trap_c	B+	rtti+operator_new_size+vtable+factory_shape+nsmbw_lineage;not_apply=overlay_multiplexed_registry_pointer	no
Trap_SpawnInfo	g_profile_C1_TRAP	profile	C1_TRAP	daObjC1_Trap_c	B	rom_profile_id+registry_descriptor+factory_pointer+nsmbw_lineage;not_apply=overlay_multiplexed_registry_pointer	no
StarCamera_Spawn		factory	STAR_CAMERA		C	allocation_only;most_derived_class_unresolved;not_apply=factory_shape_uncertain	no
StarCamera_SpawnInfo	g_profile_STAR_CAMERA	profile	STAR_CAMERA		B+	rom_profile_id+registry_descriptor+factory_pointer+nsmbw_lineage	yes
Player_Spawn	daPly_c_classInit	factory	PLAYER	daPly_c	B+	rtti+operator_new_size+vtable+factory_shape+nsmbw_lineage	yes
Player_SpawnInfo	g_profile_PLAYER	profile	PLAYER	daPly_c	B+	rom_profile_id+registry_descriptor+factory_pointer+nsmbw_lineage	yes
WaterfallMist_Spawn	daObjWaterfall_c_classInit	factory	WATERFALL	daObjWaterfall_c	B+	rtti+operator_new_size+vtable+factory_shape+nsmbw_lineage	yes
WaterfallMist_SpawnInfo	g_profile_WATERFALL	profile	WATERFALL	daObjWaterfall_c	B+	rom_profile_id+registry_descriptor+factory_pointer+nsmbw_lineage	yes
Goomba_Spawn	daKrb_c_classInit	factory	KURIBO	daKrb_c	B	rtti+operator_new_size+vtable+factory_shape+nsmbw_lineage;not_apply=global_name_collision	no
Goomba_SpawnInfo	g_profile_KURIBO	profile	KURIBO	daKrb_c	B+	rom_profile_id+registry_descriptor+factory_pointer+nsmbw_lineage	yes
Boo_Spawn	daTrs_c_classInit	factory	TERESA	daTrs_c	B	rtti+operator_new_size+vtable+factory_shape+nsmbw_lineage;not_apply=global_name_collision	no
Boo_SpawnInfo	g_profile_TERESA	profile	TERESA	daTrs_c	B+	rom_profile_id+registry_descriptor+factory_pointer+nsmbw_lineage	yes
BigBoo_Spawn	daTrs_c_classInit	factory	BOSS_TERESA	daTrs_c	B	rtti+operator_new_size+vtable+factory_shape+nsmbw_lineage;not_apply=global_name_collision	no
BigBoo_SpawnInfo	g_profile_BOSS_TERESA	profile	BOSS_TERESA	daTrs_c	B+	rom_profile_id+registry_descriptor+factory_pointer+nsmbw_lineage	yes
ChainChomp_Spawn	daWanwan_c_classInit	factory	WANWAN	daWanwan_c	B+	rtti+operator_new_size+vtable+factory_shape+nsmbw_lineage	yes
ChainChomp_SpawnInfo	g_profile_WANWAN	profile	WANWAN	daWanwan_c	B+	rom_profile_id+registry_descriptor+factory_pointer+nsmbw_lineage	yes
RabbitKey_Spawn	daObj_Mip_Key_c_classInit	factory	OBJ_MIP_KEY	daObj_Mip_Key_c	B+	rtti+operator_new_size+vtable+factory_shape+nsmbw_lineage	yes
RabbitKey_SpawnInfo	g_profile_OBJ_MIP_KEY	profile	OBJ_MIP_KEY	daObj_Mip_Key_c	B+	rom_profile_id+registry_descriptor+factory_pointer+nsmbw_lineage	yes
FlyGuy_Spawn	daPropeller_Heyho_c_classInit	factory	PROPELLER_HEYHO	daPropeller_Heyho_c	B+	rtti+operator_new_size+vtable+factory_shape+nsmbw_lineage	yes
FlyGuy_SpawnInfo	g_profile_PROPELLER_HEYHO	profile	PROPELLER_HEYHO	daPropeller_Heyho_c	B+	rom_profile_id+registry_descriptor+factory_pointer+nsmbw_lineage	yes
daObjKinokoTag_c_Spawn	daObjKinokoTag_c_classInit	factory	KINOKO_CREATE_TAG	daObjKinokoTag_c	B	rtti+operator_new_size+vtable+factory_shape+nsmbw_lineage;not_apply=global_name_collision	no
MegaMushroomCreateTag_SpawnInfo	g_profile_KINOKO_CREATE_TAG	profile	KINOKO_CREATE_TAG	daObjKinokoTag_c	B+	rom_profile_id+registry_descriptor+factory_pointer+nsmbw_lineage	yes
BookShot_Spawn	daBook_c_classInit	factory	SHOOT_BOOK	daBook_c	B	rtti+operator_new_size+vtable+factory_shape+nsmbw_lineage;not_apply=global_name_collision	no
BookShot_SpawnInfo	g_profile_SHOOT_BOOK	profile	SHOOT_BOOK	daBook_c	B+	rom_profile_id+registry_descriptor+factory_pointer+nsmbw_lineage	yes
BookShotSpawner_Spawn	daBookGen_c_classInit	factory	BOOK_GENERATOR	daBookGen_c	B+	rtti+operator_new_size+vtable+factory_shape+nsmbw_lineage	yes
BookShotSpawner_SpawnInfo	g_profile_BOOK_GENERATOR	profile	BOOK_GENERATOR	daBookGen_c	B+	rom_profile_id+registry_descriptor+factory_pointer+nsmbw_lineage	yes
func_ov006_020e0574	dScMgCup_c_classInit	factory	MG_CUP	dScMgCup_c	B+	rtti+operator_new_size+vtable+factory_shape+nsmbw_lineage	yes
data_ov006_0213c020	g_profile_MG_CUP	profile	MG_CUP	dScMgCup_c	B+	rom_profile_id+registry_descriptor+factory_pointer+nsmbw_lineage	yes
MgShuffleShell_Spawn	dScMgCurling_c_classInit	factory	MG_CURLING	dScMgCurling_c	B+	rtti+operator_new_size+vtable+factory_shape+nsmbw_lineage	yes
